,exam_score
61742,91
4935,100
66109,91
55276,64
70384,78
32238,91
11041,99
67531,89
50648,88
79196,97
23255,72
30955,77
24388,92
67097,59
25340,56
70260,100
44369,96
19987,78
18071,65
22974,89
35718,96
44922,100
64800,100
52902,88
67022,100
63651,73
37393,76
37850,90
39079,95
62609,85
38832,95
36885,71
54652,97
53497,90
78611,97
45550,82
22715,100
72827,99
51507,91
61251,94
6078,100
16169,78
71003,67
71510,100
47877,67
6558,89
69296,90
4836,100
23613,72
51727,100
18668,92
31680,100
36874,87
40100,95
1990,98
2614,100
63926,78
78672,100
73590,100
52137,100
45341,98
24450,99
26464,70
1716,75
62055,100
42652,76
57255,72
22745,94
35519,92
47901,73
50528,98
38741,72
54621,88
46177,68
78823,100
13890,96
2454,80
4066,90
62080,94
50563,100
11414,96
50430,88
9156,100
38565,70
66097,99
7738,95
74873,100
52934,100
40953,99
77642,63
60048,61
73494,98
45650,93
35411,96
47086,66
61741,85
56187,95
52380,72
31322,91
731,98
6615,83
35518,89
22989,100
40021,89
48307,100
33908,90
77786,75
9959,72
1326,75
69206,100
47495,93
20981,65
31407,84
25294,99
76552,57
44217,100
52664,90
72838,87
20261,67
40800,97
8512,88
56032,93
19321,99
78771,92
75739,100
5673,98
69797,87
78536,87
35728,97
7116,93
61969,65
65667,76
36486,80
13376,81
24514,95
2237,100
50477,97
50323,99
34083,95
46220,100
63033,95
34983,100
45973,88
68247,75
41343,78
56756,76
32386,97
35073,74
44312,74
3993,100
42341,82
41418,69
26232,78
1571,100
6377,96
70491,94
44375,94
34427,100
9844,84
51184,93
76699,100
67148,79
14488,99
56625,99
10782,98
33725,100
62562,92
11381,84
77734,100
10194,100
22210,84
60828,100
35260,67
78057,100
48280,99
24926,79
11990,85
73847,81
5123,94
41598,100
133,75
78276,94
22195,86
28946,70
47677,81
51239,91
50766,92
36383,100
48157,97
3682,90
6408,71
3713,66
20300,93
33626,94
21169,100
72874,89
79459,100
41393,85
44758,97
12399,83
73768,80
38247,67
18263,96
42505,97
76281,81
76854,66
37630,76
3042,90
39192,100
78487,90
8956,97
9192,69
11539,77
3741,90
61319,100
53905,78
35386,71
32770,100
68351,100
79330,86
52092,75
53873,88
21519,100
28875,100
28734,100
44718,80
61101,97
33935,95
45242,84
42887,93
62909,83
57746,79
63288,72
64776,100
42141,100
54632,100
35334,79
39608,84
20939,83
70700,100
75963,69
55597,100
47852,100
10611,88
52171,67
53489,100
4649,88
46166,81
13441,94
70521,100
1485,72
35398,100
52173,75
51771,82
41916,100
73462,95
8993,100
15890,100
26280,97
7643,96
77328,88
78320,83
39443,100
11280,81
44538,100
76389,89
28080,96
63287,95
61977,100
25125,60
23677,84
51409,88
3903,98
13304,65
57772,91
23966,97
15273,79
40561,81
22786,69
65626,70
66502,76
52565,84
6952,89
75753,100
61974,100
61935,74
64211,76
45088,73
27915,69
71161,73
71381,82
63269,97
44214,100
10879,58
68699,94
47064,74
57520,77
9348,100
60951,100
53650,71
57061,93
55499,72
8796,99
52312,100
43616,100
38935,94
72773,87
71396,77
4235,80
12424,96
34092,100
10208,100
56641,79
67698,67
46096,61
58668,96
12111,78
14641,79
75065,100
38974,99
36513,90
34132,99
24292,84
29491,72
72883,100
67057,72
39385,100
7865,72
71249,93
72448,90
70549,88
65073,94
47857,96
75634,80
31452,77
62328,78
16964,100
58505,76
40524,100
76534,96
41861,87
4111,100
51697,92
30858,80
71243,89
23654,100
73406,100
67313,70
17761,100
65548,92
55827,63
29663,83
30879,85
68197,62
9288,100
7852,98
631,93
38278,100
59,100
32760,82
5351,99
24975,92
7445,61
18011,70
53297,92
21762,77
2617,95
6929,100
17867,100
29950,100
8017,88
47522,100
7640,100
60740,100
6314,100
7685,87
67117,95
9832,93
69529,100
26082,95
70799,91
28393,97
26674,74
79047,84
71416,100
46990,90
43716,97
22432,71
18530,94
38596,100
55143,99
35626,65
67217,89
26239,71
18772,89
45719,98
61753,99
2518,100
7870,91
72542,95
28107,100
47417,92
50033,98
43366,79
43391,91
23940,94
69117,100
7673,74
23867,100
1100,64
65303,91
12223,86
15575,63
29221,65
52608,100
15146,89
11479,76
18815,68
11211,85
22015,94
23294,100
6732,100
34635,90
1441,91
41731,87
62748,100
33400,80
36903,79
70798,100
76253,99
18670,100
75529,80
51677,100
75687,100
72759,90
62603,78
5155,97
32419,95
668,92
20983,93
72740,73
26292,91
36040,100
44353,98
67721,100
42317,84
35799,54
73376,83
1047,95
4388,79
65683,99
50686,99
77025,65
8140,64
25315,64
53818,100
43700,97
4222,100
29763,100
43465,100
37195,89
48860,85
73390,98
9805,98
19435,96
79607,96
73933,77
17602,86
35217,79
12590,81
9759,100
14599,100
22472,99
67256,100
19816,91
25160,98
71518,81
30545,84
46335,72
69279,100
47295,100
35140,93
71991,94
60531,89
15553,51
64978,97
22296,100
4804,100
22942,96
10892,100
18743,85
36166,83
57917,90
63278,94
42319,79
503,65
46927,94
44731,98
30876,51
76456,90
68906,76
6064,100
22699,99
36552,77
39065,100
42555,100
23507,100
62405,88
68015,69
3953,87
49372,66
35871,100
16804,92
69049,100
13259,88
66384,91
39772,94
65711,79
35484,100
64351,93
19805,88
62508,57
50403,89
59778,74
64412,98
41560,77
74917,97
70752,100
33842,89
19206,98
33930,100
7483,86
20173,93
78044,90
59358,100
6831,98
12506,82
9454,95
59509,85
31369,68
52438,67
32327,100
56759,95
10267,100
17280,88
42046,100
20139,75
68472,86
767,97
9151,81
50744,95
74299,94
39822,94
54940,87
75608,100
56395,100
8746,81
27339,98
60961,100
69815,100
66672,92
79542,93
2882,93
52563,70
22052,86
78600,70
6777,81
31383,80
3956,100
29652,95
52176,100
1292,100
22949,77
41425,95
61312,100
3693,85
30662,95
57109,95
79627,100
60432,100
40844,91
5946,100
50066,91
41515,97
40371,76
24015,81
45585,94
38389,94
25505,90
1007,75
52717,100
13735,98
51410,87
40566,92
67576,68
12837,93
47597,97
26559,98
56483,90
12588,94
55352,100
10789,90
854,100
63119,66
18916,77
79937,100
14577,98
74853,83
52494,82
23074,100
24309,100
13181,100
1545,58
46737,75
30935,76
37708,100
40376,100
12621,100
54327,99
37375,99
58124,100
49596,100
23181,100
65932,93
17378,88
78841,75
13044,90
74210,95
21702,100
55119,98
36123,100
47842,100
75421,94
71630,100
13227,100
14328,99
54982,97
61665,100
73582,79
67915,89
708,94
47260,98
27025,76
10577,98
16135,91
70701,60
26233,98
67904,100
67368,96
7669,100
75366,93
78194,77
7812,100
40935,92
4521,93
29065,88
46514,82
27228,75
7862,97
48019,94
11867,100
21491,77
59918,98
71952,99
65532,99
55559,97
32083,65
40940,100
66612,85
11434,76
63975,95
75475,100
55153,82
8501,94
29246,100
73798,85
47742,72
79557,96
78427,99
4846,58
44054,71
34586,100
29679,90
1449,68
75292,92
34702,100
38184,75
17192,100
4341,79
14178,82
69414,100
4917,92
10124,47
73564,75
39134,84
69081,100
56012,100
72905,100
64946,100
50913,76
69109,100
46258,88
58543,100
31156,100
14059,100
75032,100
27660,94
48015,100
62501,72
47671,68
74648,92
78024,94
77671,96
32896,90
26654,63
45157,84
57270,68
36095,92
211,88
60095,92
67845,86
56343,81
56320,97
50642,74
68453,100
50442,80
32957,82
20443,97
1475,100
61835,72
4050,96
78957,51
72248,56
14851,64
54482,100
33009,87
12095,73
19395,100
14275,72
12106,90
24552,87
43122,100
73793,81
67321,97
3358,100
11423,100
4686,100
56557,98
30403,92
62182,91
66047,96
66017,81
27842,77
35447,94
59135,95
74157,100
39539,85
71221,78
12726,94
74637,100
22877,98
60157,93
32482,97
3672,94
66105,100
28740,100
77525,88
19458,100
44957,91
57313,81
63114,98
48146,100
65847,66
77573,93
29967,73
73300,100
39373,88
51969,68
20563,77
29995,100
4110,95
53071,100
76379,96
48378,100
21217,80
9343,100
44173,76
48617,100
46986,97
27350,74
47894,62
30167,71
38968,95
15422,92
33426,100
67177,100
47435,100
73392,74
59110,57
53618,98
34310,57
40540,93
63901,90
10090,74
38357,100
15996,86
2598,99
31348,100
71144,87
9285,65
45319,100
15100,85
30072,95
20978,79
69468,100
13788,98
24339,90
42768,83
69677,94
42043,100
78435,91
6665,100
44710,73
13016,87
41397,69
59896,97
77264,91
7400,82
60744,98
14972,78
75698,71
36915,100
66373,84
28894,100
76517,86
18090,100
37754,58
77214,78
47540,100
21071,74
60324,75
22190,99
37672,95
3675,68
23228,100
36996,96
72855,94
48277,100
76417,100
21523,91
21432,77
17027,88
44319,100
16255,100
39035,92
19103,78
51383,100
73240,85
73738,97
21107,53
28475,49
77631,87
9768,100
68473,95
19120,99
74113,65
13730,100
77520,70
50986,80
36104,96
42640,100
3083,94
67949,98
3963,100
45899,87
52208,75
74030,75
25570,74
24353,92
54279,100
54364,86
60192,82
44396,95
26386,100
51343,72
281,86
14686,100
17409,67
39090,100
46051,92
20718,90
29399,100
71479,91
74638,58
47791,93
55241,99
8890,76
46257,94
53916,100
21978,75
66961,80
17815,100
10016,100
59788,98
67535,89
70077,96
78881,84
22207,90
16619,94
76687,69
68215,99
77388,98
31395,100
27371,71
69666,99
75250,82
76467,91
57258,90
69925,83
18978,84
30944,100
67446,95
39832,100
26217,99
63073,49
55847,98
72278,70
50716,79
75128,89
36733,66
20352,97
34568,90
46278,69
63225,100
79446,66
75167,93
1409,100
42367,96
71383,100
36909,100
48510,99
57078,90
79278,88
61425,79
47542,84
47524,90
29300,100
54157,100
52662,92
15111,74
68550,83
7435,100
74750,69
11184,97
79590,96
74,100
10719,100
72110,100
5863,100
1159,94
22248,100
3460,92
76347,99
49223,66
29471,67
10353,82
14132,58
27094,78
73898,99
15745,100
30668,96
70921,100
69595,98
24077,68
21456,88
9279,98
72915,100
34473,92
50082,100
38209,74
26719,86
67860,79
4967,84
8990,98
67037,100
21638,62
55875,84
27675,97
49186,100
12915,91
68422,80
58155,99
39440,100
63630,93
10539,87
29308,97
45529,89
37031,95
2440,77
77861,98
70550,100
14256,89
78409,100
24326,91
67127,100
49788,90
72239,77
79415,97
38836,93
14495,78
63567,83
77607,94
31634,100
14899,99
23248,63
9565,99
50377,92
17270,100
19424,87
4140,100
34704,77
56291,89
30677,89
11693,93
32958,96
77252,91
49840,97
10588,100
11243,95
76806,61
71579,100
75854,100
25351,80
77902,100
62397,94
77590,100
1450,100
9036,83
21777,100
46266,89
76398,99
23483,100
18290,74
49196,67
25218,92
46100,89
15214,100
3331,57
18497,83
69947,100
39825,100
59999,100
29595,100
5602,93
60861,98
62680,74
70688,67
28692,100
5833,95
3651,94
